sample,category,count
A_LTX021_SU_T1-R1,1,5
A_LTX021_SU_T1-R1,2,11
A_LTX021_SU_T1-R1,3,17
A_LTX021_SU_T1-R1,4,9
A_LTX021_SU_T1-R1,5,3
A_LTX021_SU_T1-R1,6,3
A_LTX021_SU_T1-R1,7,0
A_LTX021_SU_T1-R1,8,1
A_LTX021_SU_T1-R2,1,1
A_LTX021_SU_T1-R2,2,9
A_LTX021_SU_T1-R2,3,14
A_LTX021_SU_T1-R2,4,17
A_LTX021_SU_T1-R2,5,6
A_LTX021_SU_T1-R2,6,1
A_LTX021_SU_T1-R2,7,0
A_LTX021_SU_T1-R2,8,1
A_LTX021_SU_T1-R3,1,0
A_LTX021_SU_T1-R3,2,7
A_LTX021_SU_T1-R3,3,17
A_LTX021_SU_T1-R3,4,6
A_LTX021_SU_T1-R3,5,1
A_LTX021_SU_T1-R3,6,0
A_LTX021_SU_T1-R3,7,0
A_LTX021_SU_T1-R3,8,0
A_LTX021_SU_T1-R4,1,1
A_LTX021_SU_T1-R4,2,12
A_LTX021_SU_T1-R4,3,13
A_LTX021_SU_T1-R4,4,10
A_LTX021_SU_T1-R4,5,2
A_LTX021_SU_T1-R4,6,5
A_LTX021_SU_T1-R4,7,0
A_LTX021_SU_T1-R4,8,2
A_LTX049_SU_T1-R1,1,0
A_LTX049_SU_T1-R1,2,0
A_LTX049_SU_T1-R1,3,16
A_LTX049_SU_T1-R1,4,13
A_LTX049_SU_T1-R1,5,2
A_LTX049_SU_T1-R1,6,0
A_LTX049_SU_T1-R1,7,1
A_LTX049_SU_T1-R1,8,0
A_LTX049_SU_T1-R2,1,0
A_LTX049_SU_T1-R2,2,3
A_LTX049_SU_T1-R2,3,26
A_LTX049_SU_T1-R2,4,10
A_LTX049_SU_T1-R2,5,2
A_LTX049_SU_T1-R2,6,1
A_LTX049_SU_T1-R2,7,1
A_LTX049_SU_T1-R2,8,0
A_LTX055_SU_T1-R1,1,0
A_LTX055_SU_T1-R1,2,8
A_LTX055_SU_T1-R1,3,36
A_LTX055_SU_T1-R1,4,10
A_LTX055_SU_T1-R1,5,3
A_LTX055_SU_T1-R1,6,4
A_LTX055_SU_T1-R1,7,2
A_LTX055_SU_T1-R1,8,2
A_LTX055_SU_T1-R2,1,0
A_LTX055_SU_T1-R2,2,1
A_LTX055_SU_T1-R2,3,33
A_LTX055_SU_T1-R2,4,7
A_LTX055_SU_T1-R2,5,4
A_LTX055_SU_T1-R2,6,5
A_LTX055_SU_T1-R2,7,2
A_LTX055_SU_T1-R2,8,0
A_LTX055_SU_T1-R3,1,0
A_LTX055_SU_T1-R3,2,3
A_LTX055_SU_T1-R3,3,31
A_LTX055_SU_T1-R3,4,7
A_LTX055_SU_T1-R3,5,3
A_LTX055_SU_T1-R3,6,4
A_LTX055_SU_T1-R3,7,4
A_LTX055_SU_T1-R3,8,0
A_LTX066_SU_T1-R1,1,3
A_LTX066_SU_T1-R1,2,7
A_LTX066_SU_T1-R1,3,6
A_LTX066_SU_T1-R1,4,0
A_LTX066_SU_T1-R1,5,0
A_LTX066_SU_T1-R1,6,0
A_LTX066_SU_T1-R1,7,2
A_LTX066_SU_T1-R1,8,2
A_LTX066_SU_T1-R2,1,0
A_LTX066_SU_T1-R2,2,0
A_LTX066_SU_T1-R2,3,4
A_LTX066_SU_T1-R2,4,0
A_LTX066_SU_T1-R2,5,0
A_LTX066_SU_T1-R2,6,0
A_LTX066_SU_T1-R2,7,0
A_LTX066_SU_T1-R2,8,0
A_LTX102_SU_T1-R1,1,2
A_LTX102_SU_T1-R1,2,14
A_LTX102_SU_T1-R1,3,3
A_LTX102_SU_T1-R1,4,2
A_LTX102_SU_T1-R1,5,0
A_LTX102_SU_T1-R1,6,0
A_LTX102_SU_T1-R1,7,0
A_LTX102_SU_T1-R1,8,0
A_LTX102_SU_T1-R2,1,1
A_LTX102_SU_T1-R2,2,14
A_LTX102_SU_T1-R2,3,2
A_LTX102_SU_T1-R2,4,2
A_LTX102_SU_T1-R2,5,0
A_LTX102_SU_T1-R2,6,0
A_LTX102_SU_T1-R2,7,0
A_LTX102_SU_T1-R2,8,0
A_LTX102_SU_T1-R3,1,2
A_LTX102_SU_T1-R3,2,16
A_LTX102_SU_T1-R3,3,3
A_LTX102_SU_T1-R3,4,2
A_LTX102_SU_T1-R3,5,0
A_LTX102_SU_T1-R3,6,0
A_LTX102_SU_T1-R3,7,0
A_LTX102_SU_T1-R3,8,0
A_LTX102_SU_T1-R4,1,1
A_LTX102_SU_T1-R4,2,11
A_LTX102_SU_T1-R4,3,3
A_LTX102_SU_T1-R4,4,0
A_LTX102_SU_T1-R4,5,2
A_LTX102_SU_T1-R4,6,2
A_LTX102_SU_T1-R4,7,0
A_LTX102_SU_T1-R4,8,0
A_LTX109_SU_T1-R1,1,0
A_LTX109_SU_T1-R1,2,0
A_LTX109_SU_T1-R1,3,17
A_LTX109_SU_T1-R1,4,0
A_LTX109_SU_T1-R1,5,0
A_LTX109_SU_T1-R1,6,5
A_LTX109_SU_T1-R1,7,0
A_LTX109_SU_T1-R1,8,1
A_LTX109_SU_T1-R2,1,0
A_LTX109_SU_T1-R2,2,0
A_LTX109_SU_T1-R2,3,22
A_LTX109_SU_T1-R2,4,0
A_LTX109_SU_T1-R2,5,0
A_LTX109_SU_T1-R2,6,4
A_LTX109_SU_T1-R2,7,1
A_LTX109_SU_T1-R2,8,1
A_LTX109_SU_T1-R3,1,0
A_LTX109_SU_T1-R3,2,0
A_LTX109_SU_T1-R3,3,19
A_LTX109_SU_T1-R3,4,0
A_LTX109_SU_T1-R3,5,0
A_LTX109_SU_T1-R3,6,3
A_LTX109_SU_T1-R3,7,1
A_LTX109_SU_T1-R3,8,1
A_LTX109_SU_T1-R4,1,0
A_LTX109_SU_T1-R4,2,1
A_LTX109_SU_T1-R4,3,17
A_LTX109_SU_T1-R4,4,0
A_LTX109_SU_T1-R4,5,0
A_LTX109_SU_T1-R4,6,3
A_LTX109_SU_T1-R4,7,1
A_LTX109_SU_T1-R4,8,1
A_LTX109_SU_T1-R5,1,11
A_LTX109_SU_T1-R5,2,24
A_LTX109_SU_T1-R5,3,26
A_LTX109_SU_T1-R5,4,1
A_LTX109_SU_T1-R5,5,0
A_LTX109_SU_T1-R5,6,4
A_LTX109_SU_T1-R5,7,0
A_LTX109_SU_T1-R5,8,2
A_LTX121_SU_T1-R1,1,0
A_LTX121_SU_T1-R1,2,5
A_LTX121_SU_T1-R1,3,38
A_LTX121_SU_T1-R1,4,18
A_LTX121_SU_T1-R1,5,3
A_LTX121_SU_T1-R1,6,0
A_LTX121_SU_T1-R1,7,0
A_LTX121_SU_T1-R1,8,5
A_LTX121_SU_T1-R2,1,1
A_LTX121_SU_T1-R2,2,4
A_LTX121_SU_T1-R2,3,26
A_LTX121_SU_T1-R2,4,7
A_LTX121_SU_T1-R2,5,4
A_LTX121_SU_T1-R2,6,1
A_LTX121_SU_T1-R2,7,0
A_LTX121_SU_T1-R2,8,0
A_LTX125_SU_LN1,1,2
A_LTX125_SU_LN1,2,9
A_LTX125_SU_LN1,3,4
A_LTX125_SU_LN1,4,0
A_LTX125_SU_LN1,5,0
A_LTX125_SU_LN1,6,0
A_LTX125_SU_LN1,7,0
A_LTX125_SU_LN1,8,0
A_LTX125_SU_LN2,1,1
A_LTX125_SU_LN2,2,7
A_LTX125_SU_LN2,3,7
A_LTX125_SU_LN2,4,0
A_LTX125_SU_LN2,5,0
A_LTX125_SU_LN2,6,0
A_LTX125_SU_LN2,7,0
A_LTX125_SU_LN2,8,0
A_LTX125_SU_T1-R1,1,0
A_LTX125_SU_T1-R1,2,14
A_LTX125_SU_T1-R1,3,0
A_LTX125_SU_T1-R1,4,0
A_LTX125_SU_T1-R1,5,0
A_LTX125_SU_T1-R1,6,0
A_LTX125_SU_T1-R1,7,0
A_LTX125_SU_T1-R1,8,0
A_LTX125_SU_T1-R2,1,1
A_LTX125_SU_T1-R2,2,19
A_LTX125_SU_T1-R2,3,2
A_LTX125_SU_T1-R2,4,1
A_LTX125_SU_T1-R2,5,0
A_LTX125_SU_T1-R2,6,0
A_LTX125_SU_T1-R2,7,0
A_LTX125_SU_T1-R2,8,0
A_LTX143_SU_T1-R1,1,1
A_LTX143_SU_T1-R1,2,10
A_LTX143_SU_T1-R1,3,30
A_LTX143_SU_T1-R1,4,14
A_LTX143_SU_T1-R1,5,3
A_LTX143_SU_T1-R1,6,3
A_LTX143_SU_T1-R1,7,0
A_LTX143_SU_T1-R1,8,0
A_LTX143_SU_T1-R2,1,0
A_LTX143_SU_T1-R2,2,13
A_LTX143_SU_T1-R2,3,21
A_LTX143_SU_T1-R2,4,1
A_LTX143_SU_T1-R2,5,1
A_LTX143_SU_T1-R2,6,0
A_LTX143_SU_T1-R2,7,2
A_LTX143_SU_T1-R2,8,0
A_LTX177_SU_T1-R1,1,0
A_LTX177_SU_T1-R1,2,24
A_LTX177_SU_T1-R1,3,3
A_LTX177_SU_T1-R1,4,0
A_LTX177_SU_T1-R1,5,0
A_LTX177_SU_T1-R1,6,0
A_LTX177_SU_T1-R1,7,0
A_LTX177_SU_T1-R1,8,0
A_LTX177_SU_T1-R2,1,2
A_LTX177_SU_T1-R2,2,3
A_LTX177_SU_T1-R2,3,7
A_LTX177_SU_T1-R2,4,0
A_LTX177_SU_T1-R2,5,0
A_LTX177_SU_T1-R2,6,0
A_LTX177_SU_T1-R2,7,0
A_LTX177_SU_T1-R2,8,0
A_LTX210_SU_LN1,1,0
A_LTX210_SU_LN1,2,5
A_LTX210_SU_LN1,3,38
A_LTX210_SU_LN1,4,11
A_LTX210_SU_LN1,5,3
A_LTX210_SU_LN1,6,1
A_LTX210_SU_LN1,7,0
A_LTX210_SU_LN1,8,0
A_LTX210_SU_LN2,1,0
A_LTX210_SU_LN2,2,2
A_LTX210_SU_LN2,3,34
A_LTX210_SU_LN2,4,10
A_LTX210_SU_LN2,5,3
A_LTX210_SU_LN2,6,0
A_LTX210_SU_LN2,7,0
A_LTX210_SU_LN2,8,1
A_LTX210_SU_T1-R1,1,0
A_LTX210_SU_T1-R1,2,9
A_LTX210_SU_T1-R1,3,35
A_LTX210_SU_T1-R1,4,5
A_LTX210_SU_T1-R1,5,2
A_LTX210_SU_T1-R1,6,2
A_LTX210_SU_T1-R1,7,0
A_LTX210_SU_T1-R1,8,0
A_LTX210_SU_T1-R2,1,0
A_LTX210_SU_T1-R2,2,2
A_LTX210_SU_T1-R2,3,25
A_LTX210_SU_T1-R2,4,9
A_LTX210_SU_T1-R2,5,0
A_LTX210_SU_T1-R2,6,0
A_LTX210_SU_T1-R2,7,3
A_LTX210_SU_T1-R2,8,0
A_LTX210_SU_T1-R3,1,0
A_LTX210_SU_T1-R3,2,3
A_LTX210_SU_T1-R3,3,33
A_LTX210_SU_T1-R3,4,15
A_LTX210_SU_T1-R3,5,2
A_LTX210_SU_T1-R3,6,1
A_LTX210_SU_T1-R3,7,0
A_LTX210_SU_T1-R3,8,0
A_LTX221_SU_T1-R1,1,1
A_LTX221_SU_T1-R1,2,15
A_LTX221_SU_T1-R1,3,9
A_LTX221_SU_T1-R1,4,0
A_LTX221_SU_T1-R1,5,0
A_LTX221_SU_T1-R1,6,0
A_LTX221_SU_T1-R1,7,0
A_LTX221_SU_T1-R1,8,0
A_LTX221_SU_T1-R2,1,0
A_LTX221_SU_T1-R2,2,16
A_LTX221_SU_T1-R2,3,3
A_LTX221_SU_T1-R2,4,0
A_LTX221_SU_T1-R2,5,0
A_LTX221_SU_T1-R2,6,0
A_LTX221_SU_T1-R2,7,0
A_LTX221_SU_T1-R2,8,0
A_LTX221_SU_T1-R3,1,0
A_LTX221_SU_T1-R3,2,1
A_LTX221_SU_T1-R3,3,12
A_LTX221_SU_T1-R3,4,1
A_LTX221_SU_T1-R3,5,1
A_LTX221_SU_T1-R3,6,0
A_LTX221_SU_T1-R3,7,0
A_LTX221_SU_T1-R3,8,0
A_LTX225_SU_T1-R1,1,2
A_LTX225_SU_T1-R1,2,31
A_LTX225_SU_T1-R1,3,7
A_LTX225_SU_T1-R1,4,2
A_LTX225_SU_T1-R1,5,0
A_LTX225_SU_T1-R1,6,0
A_LTX225_SU_T1-R1,7,0
A_LTX225_SU_T1-R1,8,0
A_LTX225_SU_T1-R2,1,0
A_LTX225_SU_T1-R2,2,27
A_LTX225_SU_T1-R2,3,13
A_LTX225_SU_T1-R2,4,0
A_LTX225_SU_T1-R2,5,2
A_LTX225_SU_T1-R2,6,0
A_LTX225_SU_T1-R2,7,0
A_LTX225_SU_T1-R2,8,0
B_LTX027_SU_T1-R1,1,1
B_LTX027_SU_T1-R1,2,4
B_LTX027_SU_T1-R1,3,3
B_LTX027_SU_T1-R1,4,0
B_LTX027_SU_T1-R1,5,2
B_LTX027_SU_T1-R1,6,1
B_LTX027_SU_T1-R1,7,1
B_LTX027_SU_T1-R1,8,0
B_LTX027_SU_T1-R2,1,1
B_LTX027_SU_T1-R2,2,3
B_LTX027_SU_T1-R2,3,5
B_LTX027_SU_T1-R2,4,0
B_LTX027_SU_T1-R2,5,0
B_LTX027_SU_T1-R2,6,3
B_LTX027_SU_T1-R2,7,1
B_LTX027_SU_T1-R2,8,0
B_LTX033_SU_T1-R1,1,1
B_LTX033_SU_T1-R1,2,16
B_LTX033_SU_T1-R1,3,42
B_LTX033_SU_T1-R1,4,14
B_LTX033_SU_T1-R1,5,1
B_LTX033_SU_T1-R1,6,1
B_LTX033_SU_T1-R1,7,1
B_LTX033_SU_T1-R1,8,2
B_LTX033_SU_T1-R2,1,1
B_LTX033_SU_T1-R2,2,18
B_LTX033_SU_T1-R2,3,51
B_LTX033_SU_T1-R2,4,25
B_LTX033_SU_T1-R2,5,10
B_LTX033_SU_T1-R2,6,2
B_LTX033_SU_T1-R2,7,1
B_LTX033_SU_T1-R2,8,1
B_LTX033_SU_T1-R3,1,1
B_LTX033_SU_T1-R3,2,17
B_LTX033_SU_T1-R3,3,42
B_LTX033_SU_T1-R3,4,30
B_LTX033_SU_T1-R3,5,12
B_LTX033_SU_T1-R3,6,1
B_LTX033_SU_T1-R3,7,1
B_LTX033_SU_T1-R3,8,3
B_LTX033_SU_T1-R4,1,1
B_LTX033_SU_T1-R4,2,14
B_LTX033_SU_T1-R4,3,40
B_LTX033_SU_T1-R4,4,16
B_LTX033_SU_T1-R4,5,3
B_LTX033_SU_T1-R4,6,2
B_LTX033_SU_T1-R4,7,1
B_LTX033_SU_T1-R4,8,1
B_LTX034_SU_T1-R1,1,1
B_LTX034_SU_T1-R1,2,2
B_LTX034_SU_T1-R1,3,17
B_LTX034_SU_T1-R1,4,2
B_LTX034_SU_T1-R1,5,1
B_LTX034_SU_T1-R1,6,0
B_LTX034_SU_T1-R1,7,0
B_LTX034_SU_T1-R1,8,0
B_LTX034_SU_T1-R2,1,1
B_LTX034_SU_T1-R2,2,1
B_LTX034_SU_T1-R2,3,19
B_LTX034_SU_T1-R2,4,1
B_LTX034_SU_T1-R2,5,0
B_LTX034_SU_T1-R2,6,0
B_LTX034_SU_T1-R2,7,1
B_LTX034_SU_T1-R2,8,0
B_LTX038_SU_T1-R1,1,5
B_LTX038_SU_T1-R1,2,59
B_LTX038_SU_T1-R1,3,6
B_LTX038_SU_T1-R1,4,6
B_LTX038_SU_T1-R1,5,0
B_LTX038_SU_T1-R1,6,3
B_LTX038_SU_T1-R1,7,0
B_LTX038_SU_T1-R1,8,0
B_LTX038_SU_T1-R2,1,5
B_LTX038_SU_T1-R2,2,63
B_LTX038_SU_T1-R2,3,10
B_LTX038_SU_T1-R2,4,4
B_LTX038_SU_T1-R2,5,0
B_LTX038_SU_T1-R2,6,3
B_LTX038_SU_T1-R2,7,0
B_LTX038_SU_T1-R2,8,0
B_LTX038_SU_T1-R3,1,2
B_LTX038_SU_T1-R3,2,41
B_LTX038_SU_T1-R3,3,7
B_LTX038_SU_T1-R3,4,4
B_LTX038_SU_T1-R3,5,0
B_LTX038_SU_T1-R3,6,0
B_LTX038_SU_T1-R3,7,0
B_LTX038_SU_T1-R3,8,0
B_LTX038_SU_T1-R4,1,6
B_LTX038_SU_T1-R4,2,73
B_LTX038_SU_T1-R4,3,11
B_LTX038_SU_T1-R4,4,3
B_LTX038_SU_T1-R4,5,1
B_LTX038_SU_T1-R4,6,0
B_LTX038_SU_T1-R4,7,0
B_LTX038_SU_T1-R4,8,0
B_LTX038_SU_T1-R5,1,2
B_LTX038_SU_T1-R5,2,51
B_LTX038_SU_T1-R5,3,9
B_LTX038_SU_T1-R5,4,4
B_LTX038_SU_T1-R5,5,0
B_LTX038_SU_T1-R5,6,0
B_LTX038_SU_T1-R5,7,0
B_LTX038_SU_T1-R5,8,0
B_LTX038_SU_T1-R6,1,5
B_LTX038_SU_T1-R6,2,42
B_LTX038_SU_T1-R6,3,14
B_LTX038_SU_T1-R6,4,5
B_LTX038_SU_T1-R6,5,1
B_LTX038_SU_T1-R6,6,0
B_LTX038_SU_T1-R6,7,0
B_LTX038_SU_T1-R6,8,0
B_LTX038_SU_T1-R7,1,8
B_LTX038_SU_T1-R7,2,12
B_LTX038_SU_T1-R7,3,14
B_LTX038_SU_T1-R7,4,3
B_LTX038_SU_T1-R7,5,1
B_LTX038_SU_T1-R7,6,0
B_LTX038_SU_T1-R7,7,4
B_LTX038_SU_T1-R7,8,3
B_LTX043_SU_T1-R1,1,2
B_LTX043_SU_T1-R1,2,12
B_LTX043_SU_T1-R1,3,5
B_LTX043_SU_T1-R1,4,0
B_LTX043_SU_T1-R1,5,2
B_LTX043_SU_T1-R1,6,3
B_LTX043_SU_T1-R1,7,0
B_LTX043_SU_T1-R1,8,0
B_LTX043_SU_T1-R2,1,0
B_LTX043_SU_T1-R2,2,3
B_LTX043_SU_T1-R2,3,2
B_LTX043_SU_T1-R2,4,0
B_LTX043_SU_T1-R2,5,5
B_LTX043_SU_T1-R2,6,0
B_LTX043_SU_T1-R2,7,0
B_LTX043_SU_T1-R2,8,0
B_LTX046_SU_T1-R1,1,2
B_LTX046_SU_T1-R1,2,13
B_LTX046_SU_T1-R1,3,35
B_LTX046_SU_T1-R1,4,22
B_LTX046_SU_T1-R1,5,1
B_LTX046_SU_T1-R1,6,1
B_LTX046_SU_T1-R1,7,1
B_LTX046_SU_T1-R1,8,0
B_LTX046_SU_T1-R2,1,5
B_LTX046_SU_T1-R2,2,7
B_LTX046_SU_T1-R2,3,14
B_LTX046_SU_T1-R2,4,12
B_LTX046_SU_T1-R2,5,5
B_LTX046_SU_T1-R2,6,0
B_LTX046_SU_T1-R2,7,0
B_LTX046_SU_T1-R2,8,0
B_LTX046_SU_T1-R3,1,1
B_LTX046_SU_T1-R3,2,3
B_LTX046_SU_T1-R3,3,13
B_LTX046_SU_T1-R3,4,11
B_LTX046_SU_T1-R3,5,8
B_LTX046_SU_T1-R3,6,2
B_LTX046_SU_T1-R3,7,0
B_LTX046_SU_T1-R3,8,0
B_LTX046_SU_T1-R4,1,1
B_LTX046_SU_T1-R4,2,8
B_LTX046_SU_T1-R4,3,25
B_LTX046_SU_T1-R4,4,3
B_LTX046_SU_T1-R4,5,1
B_LTX046_SU_T1-R4,6,0
B_LTX046_SU_T1-R4,7,0
B_LTX046_SU_T1-R4,8,0
B_LTX048_SU_T1-R1,1,2
B_LTX048_SU_T1-R1,2,2
B_LTX048_SU_T1-R1,3,10
B_LTX048_SU_T1-R1,4,19
B_LTX048_SU_T1-R1,5,11
B_LTX048_SU_T1-R1,6,5
B_LTX048_SU_T1-R1,7,0
B_LTX048_SU_T1-R1,8,4
B_LTX048_SU_T1-R2,1,0
B_LTX048_SU_T1-R2,2,4
B_LTX048_SU_T1-R2,3,11
B_LTX048_SU_T1-R2,4,25
B_LTX048_SU_T1-R2,5,3
B_LTX048_SU_T1-R2,6,3
B_LTX048_SU_T1-R2,7,1
B_LTX048_SU_T1-R2,8,4
B_LTX048_SU_T1-R3,1,4
B_LTX048_SU_T1-R3,2,13
B_LTX048_SU_T1-R3,3,35
B_LTX048_SU_T1-R3,4,10
B_LTX048_SU_T1-R3,5,9
B_LTX048_SU_T1-R3,6,1
B_LTX048_SU_T1-R3,7,3
B_LTX048_SU_T1-R3,8,0
B_LTX048_SU_T1-R4,1,0
B_LTX048_SU_T1-R4,2,2
B_LTX048_SU_T1-R4,3,4
B_LTX048_SU_T1-R4,4,0
B_LTX048_SU_T1-R4,5,0
B_LTX048_SU_T1-R4,6,0
B_LTX048_SU_T1-R4,7,0
B_LTX048_SU_T1-R4,8,0
B_LTX059_SU_T1-R1,1,0
B_LTX059_SU_T1-R1,2,4
B_LTX059_SU_T1-R1,3,7
B_LTX059_SU_T1-R1,4,0
B_LTX059_SU_T1-R1,5,0
B_LTX059_SU_T1-R1,6,0
B_LTX059_SU_T1-R1,7,2
B_LTX059_SU_T1-R1,8,2
B_LTX059_SU_T1-R2,1,0
B_LTX059_SU_T1-R2,2,3
B_LTX059_SU_T1-R2,3,20
B_LTX059_SU_T1-R2,4,9
B_LTX059_SU_T1-R2,5,1
B_LTX059_SU_T1-R2,6,1
B_LTX059_SU_T1-R2,7,0
B_LTX059_SU_T1-R2,8,4
B_LTX059_SU_T1-R3,1,2
B_LTX059_SU_T1-R3,2,9
B_LTX059_SU_T1-R3,3,23
B_LTX059_SU_T1-R3,4,7
B_LTX059_SU_T1-R3,5,1
B_LTX059_SU_T1-R3,6,1
B_LTX059_SU_T1-R3,7,0
B_LTX059_SU_T1-R3,8,6
B_LTX059_SU_T1-R4,1,2
B_LTX059_SU_T1-R4,2,7
B_LTX059_SU_T1-R4,3,16
B_LTX059_SU_T1-R4,4,15
B_LTX059_SU_T1-R4,5,1
B_LTX059_SU_T1-R4,6,2
B_LTX059_SU_T1-R4,7,0
B_LTX059_SU_T1-R4,8,5
B_LTX065_SU_T1-R1,1,4
B_LTX065_SU_T1-R1,2,18
B_LTX065_SU_T1-R1,3,7
B_LTX065_SU_T1-R1,4,1
B_LTX065_SU_T1-R1,5,0
B_LTX065_SU_T1-R1,6,1
B_LTX065_SU_T1-R1,7,0
B_LTX065_SU_T1-R1,8,0
B_LTX065_SU_T1-R2,1,2
B_LTX065_SU_T1-R2,2,24
B_LTX065_SU_T1-R2,3,8
B_LTX065_SU_T1-R2,4,0
B_LTX065_SU_T1-R2,5,1
B_LTX065_SU_T1-R2,6,0
B_LTX065_SU_T1-R2,7,0
B_LTX065_SU_T1-R2,8,0
B_LTX065_SU_T1-R3,1,9
B_LTX065_SU_T1-R3,2,25
B_LTX065_SU_T1-R3,3,7
B_LTX065_SU_T1-R3,4,1
B_LTX065_SU_T1-R3,5,0
B_LTX065_SU_T1-R3,6,1
B_LTX065_SU_T1-R3,7,0
B_LTX065_SU_T1-R3,8,0
B_LTX070_SU_T1-R1,1,0
